user_id,author,linkOfAuthorProfile,desc,followers
le-james94,James Le,https://towardsdatascience.com/@le-james94?source=collection_archive---------0-----------------------,,0
culurciello,Eugenio Culurciello,https://towardsdatascience.com/@culurciello?source=collection_archive---------0-----------------------,,0
makingarecord,Stephen Goldmeier,https://towardsdatascience.com/@makingarecord?source=collection_archive---------1-----------------------,"Public defender working in systems analysis. Interested in storytelling, data, systemic reform, learning new things. Opinions my own. ",39
marekgalovic,Marek Galovič,https://towardsdatascience.com/@marekgalovic?source=collection_archive---------2-----------------------,"CTU Prague, Former Data Scientist @Shopify. I like data, machine learning and algorithms.",247
chrisdowsett,Chris Dowsett,https://towardsdatascience.com/@chrisdowsett?source=collection_archive---------3-----------------------,,0
rosebxd,Rosebud Anwuri.,https://towardsdatascience.com/@rosebxd?source=collection_archive---------4-----------------------,,0
sntaus,Taus Noor,https://towardsdatascience.com/@sntaus?source=collection_archive---------0-----------------------,"Building Instant — frictionless 1 click checkout for e-commerce stores. Ex NVIDIA, IBM & Microsoft. Inventor, Patent Pending USPTO—autonomous driving tech.",350
moowahaha,Stephen Hardisty,https://towardsdatascience.com/@moowahaha?source=collection_archive---------1-----------------------,I sit near computer programmers,82
bill_71323,Bill Su,https://towardsdatascience.com/@bill_71323?source=collection_archive---------2-----------------------,"CEO, Humanlytics. Bringing data analytics to everyone.",1300
kd_is_typing,Kirill Danilyuk,https://towardsdatascience.com/@kd_is_typing?source=collection_archive---------0-----------------------,Computer Vision @ Yandex Self-Driving Cars,758
databeast,Alexander Barriga,https://towardsdatascience.com/@databeast?source=collection_archive---------3-----------------------,,0
matthew-brems,Matt Brems,https://towardsdatascience.com/@matthew-brems?source=collection_archive---------1-----------------------,,0
h27kim,Henry Kim,https://towardsdatascience.com/@h27kim?source=collection_archive---------0-----------------------,,126
NickHortovanyi,Nick Hortovanyi,https://towardsdatascience.com/@NickHortovanyi?source=collection_archive---------0-----------------------,,501
bjarke.ebert,Bjarke Ebert,https://towardsdatascience.com/@bjarke.ebert?source=collection_archive---------0-----------------------,"Mathematician, software engineer. Interested in statistics, game theory, programming languages. Working at Google in Zurich, Switzerland.",39
aslanfrench,Aslan French,https://towardsdatascience.com/@aslanfrench?source=collection_archive---------0-----------------------,Design technologist. Civic hacker. I talk too much. Sometimes I write it down. Sometimes I publish it here.,160
melanietosik,Melanie Tosik,https://towardsdatascience.com/@melanietosik?source=collection_archive---------0-----------------------,NLP and ML | NYU and NYC | Thoughts and ideas | ,478
ashispapu,Ashis Samal,https://towardsdatascience.com/@ashispapu?source=collection_archive---------1-----------------------,"Passionate , Curious , Hardworking .. Working for positive changes (All views expressed are solely my own)",88
priya-dwivedi,Priya Dwivedi,https://towardsdatascience.com/@priya-dwivedi?source=collection_archive---------2-----------------------,,0
bright_wolf,Bright Wolf,https://towardsdatascience.com/@bright_wolf?source=collection_archive---------4-----------------------,Data-centric technology provider and system integration partner for industrial IoT and connected product solutions. ,148
dpatil,dj patil,https://towardsdatascience.com/@dpatil?source=collection_archive---------5-----------------------,Making tech and data work for you,13000
valeria.rozenbaum,Valeria Rozenbaum,https://towardsdatascience.com/@valeria.rozenbaum?source=collection_archive---------6-----------------------,,25
